key	faction	allowed
episodic_2_5th_rate	britain	true
episodic_2_5th_rate	france	true
episodic_2_5th_rate	virginia	true
episodic_2_brig	britain	true
episodic_2_brig	france	true
episodic_2_brig	virginia	true
episodic_2_colonial_militia	britain	true
episodic_2_colonial_militia	virginia	true
episodic_2_french_marines	france	true
episodic_2_light_cavalry_colonial	britain	true
episodic_2_light_cavalry_colonial	france	true
episodic_2_light_cavalry_colonial	virginia	true
episodic_2_line_infantry	britain	true
episodic_2_line_infantry	virginia	true
episodic_2_natam_musketeers	cherokee	true
episodic_2_natam_musketeers	huron	true
episodic_2_natam_musketeers	iroquoi	true
episodic_2_native_american_musketeer_auxiliary	britain	true
episodic_2_native_american_musketeer_auxiliary	france	true
episodic_2_native_american_musketeer_auxiliary	virginia	true
episodic_2_rangers	britain	true
episodic_2_rangers	virginia	true
episodic_2_sloop	britain	true
episodic_2_sloop	france	true
episodic_2_sloop	virginia	true
euro_elite_light_infantry	britain	false
euro_elite_light_infantry_green_jackets	britain	true
euro_grenade_launchers	russia	true
euro_grenadiers	russia	false
euro_highlanders_royal_ecossois	france	true
euro_lancers_uhlans	poland_lithuania	true
euro_lancers_uhlans	prussia	true
euro_light_dragoons	sweden	false
euro_light_infantry_miquelets	portugal	true
euro_light_infantry_miquelets	spain	false
euro_line_infantry	austria	false
euro_line_infantry	bavaria	true
euro_line_infantry	britain	false
euro_line_infantry	denmark	false
euro_line_infantry	france	false
euro_line_infantry	hannover	true
euro_line_infantry	hessen	true
euro_line_infantry	netherlands	false
euro_line_infantry	poland_lithuania	false
euro_line_infantry	prussia	false
euro_line_infantry	russia	false
euro_line_infantry	saxony	true
euro_line_infantry	spain	false
euro_line_infantry	sweden	false
euro_line_infantry	swiss_confederation	true
euro_line_infantry	venice	false
euro_line_infantry_austria	austria	true
euro_line_infantry_britain	britain	true
euro_line_infantry_denmark	denmark	true
euro_line_infantry_france	france	true
euro_line_infantry_holland	netherlands	true
euro_line_infantry_poland	poland_lithuania	true
euro_line_infantry_prussia	prussia	true
euro_line_infantry_russia	russia	true
euro_line_infantry_spain	spain	true
euro_line_infantry_sweden	sweden	true
euro_line_infantry_venice	venice	true
euro_militia_infantry	russia	false
euro_militia_infantry_colonial_tutorial_rubbish	france	true
euro_pikemen	bavaria	true
euro_pikemen	hannover	true
euro_pikemen	hessen	true
euro_pikemen	russia	false
euro_pikemen	saxony	true
euro_pikemen	swiss_confederation	true
euro_pikemen_prussian	prussia	true
euro_polish_winged_hussars	russia	false
euro_provincial_cavalry	russia	false
euro_rangers_siberian_hunters	russia	true
euro_superior_line_infantry_blackwatch	britain	true
euro_superior_line_infantry_coldstream	britain	true
galleon	pirates	true
galleon_fluyt	pirates	true
galleon_race_built	pirates	true
gorodskiye_streltsy	russia	true
highland_clansmen	scotland	true
janissaries_beylik_grenadiers	ottoman_rebels	true
janissaries_beylik_grenadiers	ottomans	true
janissaries_beylik_musketeers	ottoman_rebels	true
janissaries_beylik_musketeers	ottomans	true
janissaries_cemaat	ottoman_rebels	true
janissaries_cemaat	ottomans	true
janissaries_cemaat_grenadiers	ottoman_rebels	true
janissaries_cemaat_grenadiers	ottomans	true
janissaries_sekban	ottoman_rebels	true
janissaries_sekban	ottomans	true
light_galley/galliot/fusta	pirates	true
medium_galley	pirates	true
norwegian_ski_troops	norway	true
ottoman_great_cannon	ottomans	true
over_1st_rate	portugal	true
over_1st_rate_american	united_states	true
over_1st_rate_british	britain	true
over_1st_rate_french	france	true
over_1st_rate_spanish	spain	true
pirates	pirates	true
razee	portugal	true
razee_british	britain	true
revolutionary_guard	france	true
revolutionary_infantry	france	true
rocket_ship	portugal	true
rocket_ship_american	united_states	true
rocket_ship_british	britain	true
rocket_ship_french	france	true
rocket_ship_spanish	spain	true
sloop	britain	false
sloop	france	false
sloop	pirates	true
sloop	spain	false
sloop	united_states	false
sloop	virginia	true
sloop_american	united_states	true
sloop_british	britain	true
sloop_french	france	true
sloop_spanish	spain	true
sp_ed_constitution	united_states	true
sp_ed_constitution_admiral	united_states	true
sp_ed_deaths_head_hussar	prussia	true
sp_ed_guerillas	spain	true
sp_ed_hms_victory	britain	true
sp_ed_hms_victory_admiral	britain	true
sp_ed_organ_gun	ottomans	true
sp_ed_rogers_rangers	britain	true
sp_ed_wild_geese	france	true
steam_ship	portugal	true
steam_ship_american	united_states	true
steam_ship_british	britain	true
steam_ship_french	france	true
steam_ship_spanish	spain	true
steppe_cavalry_tatars_crimean	crimean_khanate	true
viborniye_streltsy	russia	true
6th_rate	russia	false
6th_rate_russian	poland_lithuania	false
1st_rate	knights_stjohn	false
2nd_rate	knights_stjohn	false
3rd_rate	knights_stjohn	false
5th_rate	knights_stjohn	false
brig	knights_stjohn	false
sloop	knights_stjohn	false
rocket_ship	knights_stjohn	false
carronade_frigate	knights_stjohn	false
bomb_ketch	knights_stjohn	false
over_1st_rate	knights_stjohn	false
12_lber_howitzer	crimean_khanate	false
12_lber_land_cannon	crimean_khanate	false
12_lber_ship_fort_cannon	crimean_khanate	false
18_lber_ship_fort_cannon	crimean_khanate	false
1st_rate	crimean_khanate	false
1st_rate_admiral	crimean_khanate	false
24_lber_howitzer	crimean_khanate	false
24_lber_land_cannon	crimean_khanate	false
24_lber_land_cannon_(demi_cannon)	crimean_khanate	false
24_lber_ship_fort_cannon	crimean_khanate	false
2nd_rate	crimean_khanate	false
3_lber_land_cannon_galloper	crimean_khanate	false
3rd_rate	crimean_khanate	false
3rd_rate_admiral	crimean_khanate	false
4_inch_mortar	crimean_khanate	false
4th_rate	crimean_khanate	false
5th_rate	crimean_khanate	false
5th_rate_admiral	crimean_khanate	false
6_lber_land_cannon_galloper	crimean_khanate	false
6th_rate_russian	crimean_khanate	false
9_lber_land_cannon_(saker)	crimean_khanate	false
bomb_ketch	crimean_khanate	false
brig	crimean_khanate	false
carronade_frigate	crimean_khanate	false
episodics_armed_citizenry_europe	crimean_khanate	false
episodics_armed_citizenry_matchlocks_europe	crimean_khanate	false
euro_african_infantry	crimean_khanate	false
euro_dragoons	crimean_khanate	false
euro_dragoons_colonial	crimean_khanate	false
euro_elite_light_infantry	crimean_khanate	false
euro_expat_infantry	crimean_khanate	false
euro_generals_bodyguard	crimean_khanate	false
euro_grenadiers	crimean_khanate	false
euro_hussars	crimean_khanate	false
euro_light_dragoons	crimean_khanate	false
euro_light_infantry	crimean_khanate	false
euro_light_infantry_colonial	crimean_khanate	false
euro_line_infantry	crimean_khanate	false
euro_line_infantry_colonial	crimean_khanate	false
euro_militia_infantry	crimean_khanate	false
euro_militia_infantry_colonial_militia	crimean_khanate	false
euro_pikemen	crimean_khanate	false
euro_polish_winged_hussars	crimean_khanate	false
euro_provincial_cavalry	crimean_khanate	false
euro_provincial_line_infantry	crimean_khanate	false
euro_regiment_of_horse	crimean_khanate	false
euro_republican_conscript_infantry	crimean_khanate	false
euro_republican_guard	crimean_khanate	false
euro_sepoys	crimean_khanate	false
guard_infantry	crimean_khanate	false
household_cavalry	crimean_khanate	false
native_american_archers_auxiliary	crimean_khanate	false
native_american_mounted_musketeers_auxiliary	crimean_khanate	false
native_american_musketeers_auxiliary	crimean_khanate	false
native_american_tribesmen_auxiliary	crimean_khanate	false
native_american_warriors_auxiliary	crimean_khanate	false
over_1st_rate_russian	crimean_khanate	false
pandours	crimean_khanate	false
puckle_gun	crimean_khanate	false
razee	crimean_khanate	false
rocket_ship	crimean_khanate	false
rockets_fixed	crimean_khanate	false
sloop	crimean_khanate	false
sp_ed_dahomey_amazon	crimean_khanate	false
sp_ed_ghoorkas	crimean_khanate	false
steam_ship	crimean_khanate	false
steppe_cavalry_tatars_ottoman	crimean_khanate	false
6th_rate	crimean_khanate	false
euro_company_cavalry	crimean_khanate	false
euro_company_infantry	crimean_khanate	false
armed_citizenry_matchlocks_europe	crimean_khanate	false
armed_citizenry_matchlocks_middle_east	crimean_khanate	true
armed_citizenry_middle_east	crimean_khanate	true
