key	text	tooltip
achievements_description_ACHIEVEMENT_TECH_THEFT	Successfully steal five technologies researched by other nations.	false
achievements_description_ACHIEVEMENT_THREATEN	Use diplomatic threats to good effect by making gains from five separate negotiations.	false
achievements_description_ACHIEVEMENT_TREASON	Use treachery to best effect by turning against at least five allied nations and attacking them.	false
achievements_description_architect	Build at least one of every building available for all the playable nations.	false
achievements_description_art_of_war	Rule the entire world by dominating all provinces and trade theatres at the same time, but do so by personally taking command in every battle your armies and navies fight.	false
achievements_description_consumption	Build at least one of every building available and recruit at least one of every unit - and do both for all the playable nations.	false
achievements_description_fort	Win ten capture point multi-player battles.	false
achievements_description_hero	Successfully complete the main campaign game.	false
achievements_description_loyal	Loyalty can be a reward: complete a co-operative multi-player campaign.	false
achievements_description_master	Successfully complete the main campaign game with half of the playable nations.	false
achievements_description_merchant	Excluse all other nations from the benefits of maritime trade for one turn.	false
achievements_description_miniature	Complete all the short campaigns with all playable nations.	false
achievements_description_recruiting	Recuit at least one of every unit available for all the playable nations.	false
achievements_description_redraw	Control all provinces and regions in the world at the same time.	false
achievements_description_seven_seas	Blockade all of a human enemy's ports and entirely suppress his sea trade.	false
achievements_description_sound_of_the_guns	Come to the aid of a friend in trouble during a multi-player campaign battle.	false
achievements_description_world	Successfully complete the main campaign game with each playable nation.	false
achievements_title_ACHIEVEMENT_ALL_TECHS	Polymath	false
achievements_title_ACHIEVEMENT_ASSASSINATIONS	Assassin!	false
achievements_title_ACHIEVEMENT_COMPLETE_GRAND_CAMPAIGN_EASY	Accomplished Strategist	false
achievements_title_ACHIEVEMENT_COMPLETE_GRAND_CAMPAIGN_HARD	Strategic Genius	false
achievements_title_ACHIEVEMENT_COMPLETE_GRAND_CAMPAIGN_MEDIUM	Veteran Strategist	false
achievements_title_ACHIEVEMENT_COMPLETE_US_INDEPENDENCE	American Hero	false
achievements_title_ACHIEVEMENT_CONQUER_AMERICA	Master of the Americas	false
achievements_title_ACHIEVEMENT_CONQUER_EUROPE	Emperor of Europe	false
achievements_title_ACHIEVEMENT_CONQUER_INDIA	Maharajah of the Indies	false
achievements_title_ACHIEVEMENT_DUELS	Affairs of Honour	false
achievements_title_ACHIEVEMENT_KILL_100K	Bloody Madman	false
achievements_title_ACHIEVEMENT_KILL_1M	Conqueror of All	false
achievements_title_ACHIEVEMENT_KILL_500K	Tyrant and Ogre	false
achievements_title_ACHIEVEMENT_MISSIONS	Only Obeying Orders	false
achievements_title_ACHIEVEMENT_MP_BATTLES_PLAYED_1	Raw Recruit	false
achievements_title_ACHIEVEMENT_MP_BATTLES_PLAYED_10	Blooded	false
achievements_title_ACHIEVEMENT_MP_BATTLES_PLAYED_1_QUICK	Drumbeat to Victory	false
achievements_title_ACHIEVEMENT_MP_BATTLES_PLAYED_1_RANKED	Whiff of Grapeshot	false
achievements_title_ACHIEVEMENT_MP_BATTLES_WON_10	l337 Guard	false
achievements_title_ACHIEVEMENT_MP_BATTLES_WON_10_CLASSIC	Grand Tactician	false
achievements_title_ACHIEVEMENT_MP_BATTLES_WON_10_NAVAL	Command of the Ocean	false
achievements_title_ACHIEVEMENT_MP_BATTLES_WON_10_SIEGE_ATT	Into the Breach!	false
achievements_title_ACHIEVEMENT_MP_BATTLES_WON_10_SIEGE_DEF	The "Chevaux de Frise"	false
achievements_title_ACHIEVEMENT_MP_BATTLES_WON_50	Marshal's Baton	false
achievements_title_ACHIEVEMENT_REGION_1	Founding Father	false
achievements_title_ACHIEVEMENT_REGION_10	Expansionist Power	false
achievements_title_ACHIEVEMENT_REGION_100	A New Rome	false
achievements_title_ACHIEVEMENT_SHIP_CAPTURE	"The Sea Wolf"	false
achievements_title_ACHIEVEMENT_TECH_THEFT	The Efforts of Others	false
achievements_title_ACHIEVEMENT_THREATEN	Observe Diplomatic Niceties	false
achievements_title_ACHIEVEMENT_TREASON	Perfidious Beast	false
achievements_title_architect	"The Great Architect"	false
achievements_title_art_of_war	Re-write the Art of War	false
achievements_title_consumption	Conspicuous Consumption	false
achievements_title_fort	Holding the Fort	false
achievements_title_hero	National Hero	false
achievements_title_loyal	Loyal Ally	false
achievements_title_master	Master of Strategy	false
achievements_title_merchant	Merchant Prince	false
achievements_title_miniature	Masterpiece in Miniature	false
achievements_title_recruiting	"The Recruiting Sergeant"	false
achievements_title_redraw	Redraw the Map	false
achievements_title_seven_seas	Master of the Seven Seas	false
achievements_title_sound_of_the_guns	Towards the Sound of the Guns	false
achievements_title_world	Master of the World	false
advice_levels_advice_item_title_-1000374723	Suggested Construction...	false
advice_levels_advice_item_title_-1002927119	Raiding Trade Routes	false
advice_levels_advice_item_title_-1009457400	Outflanking with Cavalry	false
advice_levels_advice_item_title_-1020790875	Recruit a frigate	false
advice_levels_advice_item_title_-1021768895	Suggested Construction...	false
advice_levels_advice_item_title_-1021785264	Suggested Construction...	false
advice_levels_advice_item_title_-1030015586	Guard Mode Button	false
advice_levels_advice_item_title_-1031302736	Suggested Recruitment...	false
advice_levels_advice_item_title_-1035968392	Suggested Recruitment...	false
advice_levels_advice_item_title_-1036129092	Suggested Construction...	false
advice_levels_advice_item_title_-1039767507	Earthworks	false
advice_levels_advice_item_title_-1040399079	Suggested Recruitment...	false
advice_levels_advice_item_title_-105179146	War Declared!	false
advice_levels_advice_item_title_-1057402803	Suggested Construction...	false
advice_levels_advice_item_title_-1060140303	Feigning a Rout	false
advice_levels_advice_item_title_-1061827595	Promote a General	false
advice_levels_advice_item_title_-1062679364	Stop Movement	false
advice_levels_advice_item_title_-1068576045	Suggested Construction...	false
advice_levels_advice_item_title_-1070740040	Betrayal of Allies	false
advice_levels_advice_item_title_-1074189820	Suggested Construction...	false
advice_levels_advice_item_title_-1075669501	Suggested Recruitment...	false
advice_levels_advice_item_title_-1076388291	Skirmish Mode	false
advice_levels_advice_item_title_-1079255819	Suggested Recruitment...	false
advice_levels_advice_item_title_-10809208	Suggested Recruitment...	false
advice_levels_advice_item_title_-1085282254	Suggested Recruitment...	false
advice_levels_advice_item_title_-1086653659	Enemy Armies	false
advice_levels_advice_item_title_-1090310916	Suggested Construction...	false
advice_levels_advice_item_title_-1090911610	Suggested Construction...	false
advice_levels_advice_item_title_-109318922	Kill their General	false
advice_levels_advice_item_title_-1100161424	Suggested Construction...	false
advice_levels_advice_item_title_-1101282437	Suggested Construction...	false
advice_levels_advice_item_title_-1103824585	Suggested Construction...	false
advice_levels_advice_item_title_-110387293	Suggested Research...	false
advice_levels_advice_item_title_-1109259521	Where to Start?	false
advice_levels_advice_item_title_-111077650	Round Shot	false
advice_levels_advice_item_title_-1115254777	Suggested Recruitment...	false
advice_levels_advice_item_title_-1120656175	Brig Characteristics	false
advice_levels_advice_item_title_-1131309506	A Change of Heir	false
advice_levels_advice_item_title_-1134586093	Suggested Research...	false
advice_levels_advice_item_title_-1136179554	Suggested Recruitment...	false
advice_levels_advice_item_title_-1143220261	Enemy Holding Crossing	false
advice_levels_advice_item_title_-1144376815	Suggested Recruitment...	false
advice_levels_advice_item_title_-1144841370	Suggested Recruitment...	false
advice_levels_advice_item_title_-1146666606	Dangerously Low Morale!	false
advice_levels_advice_item_title_-1148715480	Wait a turn	false
advice_levels_advice_item_title_-1150653807	Suggested Research...	false
advice_levels_advice_item_title_-1157376773	Suggested Research...	false
advice_levels_advice_item_title_-1161410515	Suggested Construction...	false
advice_levels_advice_item_title_-1163327223	Movement of Fleets	false
advice_levels_advice_item_title_-1164861841	Chapter 3: Securing a future	false
advice_levels_advice_item_title_-1177825588	Chain Shot	false
advice_levels_advice_item_title_-1178554630	Character Details	false
advice_levels_advice_item_title_-1181533143	Suggested Recruitment...	false
advice_levels_advice_item_title_-1184178407	Suggested Construction...	false
advice_levels_advice_item_title_-1192039645	Suggested Recruitment...	false
advice_levels_advice_item_title_-1196007595	Moving Your Units	false
advice_levels_advice_item_title_-1196901102	State Gifts	false
advice_levels_advice_item_title_-1203874098	Suggested Recruitment...	false
advice_levels_advice_item_title_-122702475	Prestige	false
advice_levels_advice_item_title_-12280667	Suggested Recruitment...	false
advice_levels_advice_item_title_-1239782850	Suggested Recruitment...	false
advice_levels_advice_item_title_-1240856363	Suggested Recruitment...	false
advice_levels_advice_item_title_-1241185070	Unit Details	false
advice_levels_advice_item_title_-1241280103	Suggested Research...	false
advice_levels_advice_item_title_-1243676742	Suggested Recruitment...	false
advice_levels_advice_item_title_-1243953931	Military Alliance	false
advice_levels_advice_item_title_-1244710668	Suggested Construction...	false
advice_levels_advice_item_title_-124656062	Suggested Recruitment...	false
advice_levels_advice_item_title_-1246754910	Missile Cavalry	false
advice_levels_advice_item_title_-1255420100	Suggested Recruitment...	false
advice_levels_advice_item_title_-1257913403	Suggested Construction...	false
advice_levels_advice_item_title_-1258571343	Suggested Construction...	false
advice_levels_advice_item_title_-1266097244	Trade Theatres	false
advice_levels_advice_item_title_-1270342130	Suggested Research...	false
advice_levels_advice_item_title_-1277544103	Suggested Recruitment...	false
advice_levels_advice_item_title_-1279130588	Suggested Construction...	false
advice_levels_advice_item_title_-1279863409	Suggested Construction...	false
advice_levels_advice_item_title_-1282356525	Light Cavalry Tactics	false
advice_levels_advice_item_title_-1289748928	Suggested Recruitment...	false
advice_levels_advice_item_title_-1293715000	Suggested Recruitment...	false
advice_levels_advice_item_title_-1296378373	Suggested Construction...	false
advice_levels_advice_item_title_-1296933163	Suggested Construction...	false
advice_levels_advice_item_title_-1302257879	Militarisation	false
advice_levels_advice_item_title_-1315028949	Suggested Recruitment...	false
advice_levels_advice_item_title_-1318755131	Suggested Recruitment...	false
advice_levels_advice_item_title_-1318888105	Suggested Recruitment...	false
advice_levels_advice_item_title_-1324765185	Suggested Construction...	false
advice_levels_advice_item_title_-132949274	Chapter 2: Hostilities	false
advice_levels_advice_item_title_-1333879099	Suggested Construction...	false
advice_levels_advice_item_title_-1336628706	Suggested Construction...	false
advice_levels_advice_item_title_-1336768356	Revolution Nearby!	false
advice_levels_advice_item_title_-1337219062	Suggested Construction...	false
advice_levels_advice_item_title_-1338804841	Infantry Square	false
advice_levels_advice_item_title_-1341063580	Light Cavalry Tactics	false
advice_levels_advice_item_title_-1344027633	Suggested Recruitment...	false
advice_levels_advice_item_title_-134567048	Suggested Construction...	false
advice_levels_advice_item_title_-135169234	Suggested Recruitment...	false
advice_levels_advice_item_title_-1358458414	Suggested Recruitment...	false
advice_levels_advice_item_title_-1360832071	Fire at Will	false
advice_levels_advice_item_title_-1366177753	Suggested Construction...	false
advice_levels_advice_item_title_-1381776408	Camera Controls	false
advice_levels_advice_item_title_-1385610669	Suggested Research...	false
advice_levels_advice_item_title_-1391273521	Suggested Recruitment...	false
advice_levels_advice_item_title_-1393667973	Suggested Recruitment...	false
advice_levels_advice_item_title_-1393935809	Mission Issued	false
advice_levels_advice_item_title_-1394403499	Undeveloped Port	false
advice_levels_advice_item_title_-1395907252	Food Shortages	false
advice_levels_advice_item_title_-1396032595	Recruiting a Unit	false
advice_levels_advice_item_title_-140148580	Suggested Construction...	false
advice_levels_advice_item_title_-1404252623	Suggested Construction...	false
advice_levels_advice_item_title_-1413003536	Suggested Recruitment...	false
advice_levels_advice_item_title_-1416511220	New Colonial Township	false
advice_levels_advice_item_title_-1419371366	Fatigue	false
advice_levels_advice_item_title_-1420339624	Plug Bayonets	false
advice_levels_advice_item_title_-1429444682	Suggested Research...	false
advice_levels_advice_item_title_-1437315167	Suggested Research...	false
advice_levels_advice_item_title_-1437483841	Suggested Recruitment...	false
advice_levels_advice_item_title_-144246646	Suggested Recruitment...	false
advice_levels_advice_item_title_-1442955838	Morale	false
advice_levels_advice_item_title_-1445243350	Suggested Recruitment...	false
advice_levels_advice_item_title_-1452919229	Suggested Construction...	false
advice_levels_advice_item_title_-1454592058	Suggested Construction...	false
advice_levels_advice_item_title_-1459361001	Suggested Construction...	false
advice_levels_advice_item_title_-145936557	Port Broadside Button	false
advice_levels_advice_item_title_-1459386804	Suggested Recruitment...	false
advice_levels_advice_item_title_-1459886398	Avoidance	false
advice_levels_advice_item_title_-1461930512	Port Blockaded	false
advice_levels_advice_item_title_-1463450967	Movement of Rakes	false
advice_levels_advice_item_title_-146349219	Suggested Recruitment...	false
advice_levels_advice_item_title_-1467085177	Study Their Lines	false
advice_levels_advice_item_title_-1467536160	Suggested Recruitment...	false
advice_levels_advice_item_title_-1469467370	Suggested Construction...	false
advice_levels_advice_item_title_-1469473208	Duels	false
advice_levels_advice_item_title_-1470675224	Season	false
advice_levels_advice_item_title_-1471376967	Automanagement	false
advice_levels_advice_item_title_-1486261009	Suggested Recruitment...	false
advice_levels_advice_item_title_-1486552648	Suggested Recruitment...	false
advice_levels_advice_item_title_-1488236394	Suggested Construction...	false
advice_levels_advice_item_title_-1489300850	Sails Destroyed!	false
advice_levels_advice_item_title_-1497053694	Recruit a frigate	false
advice_levels_advice_item_title_-1499154520	Limbering	false
advice_levels_advice_item_title_-1507140649	Grape Shot	false
advice_levels_advice_item_title_-1507457514	Mortars	false
advice_levels_advice_item_title_-1516240186	Artillery vs. Elephants	false
advice_levels_advice_item_title_-1516645363	Encircle the Enemy	false
advice_levels_advice_item_title_-1518752410	Suggested Construction...	false
advice_levels_advice_item_title_-1519985399	Dragoons	false
advice_levels_advice_item_title_-1522516535	Where to Start?	false
advice_levels_advice_item_title_-152525085	Research Halted	false
advice_levels_advice_item_title_-1528505088	Construction	false
advice_levels_advice_item_title_-1538744232	Suggested Research...	false
advice_levels_advice_item_title_-154269326	Suggested Construction...	false
advice_levels_advice_item_title_-155246553	Defend the Hill!	false
advice_levels_advice_item_title_-1555939110	Suggested Research...	false
advice_levels_advice_item_title_-1557648100	National Summary	false
advice_levels_advice_item_title_-1567524386	Expendable Troops	false
advice_levels_advice_item_title_-1568362346	Shipyard under construction	false
advice_levels_advice_item_title_-1575987463	Suggested Recruitment...	false
advice_levels_advice_item_title_-1577040738	Suggested Construction...	false
advice_levels_advice_item_title_-1578992648	Suggested Construction...	false
advice_levels_advice_item_title_-157988888	Bankrupt!	false
advice_levels_advice_item_title_-1580369663	Suggested Construction...	false
advice_levels_advice_item_title_-1581561178	Betrayal of Allies	false
advice_levels_advice_item_title_-1583009093	Suggested Research...	false
advice_levels_advice_item_title_-1583965018	Suggested Construction...	false
advice_levels_advice_item_title_-1592013556	Suggested Recruitment...	false
advice_levels_advice_item_title_-1594060145	Ruling Class Taxation	false
advice_levels_advice_item_title_-1594313916	Enemy Zone of Movement	false
advice_levels_advice_item_title_-1596539408	Suggested Construction...	false
advice_levels_advice_item_title_-1596604962	Suggested Research...	false
advice_levels_advice_item_title_-1604004259	Emigration Due to Starvation	false
advice_levels_advice_item_title_-160700882	Pirates	false
advice_levels_advice_item_title_-1607364566	The High Cost of Taxation	false
advice_levels_advice_item_title_-1616038451	Suggested Research...	false
advice_levels_advice_item_title_-1618706389	Suggested Recruitment...	false
advice_levels_advice_item_title_-1618878816	Suggested Construction...	false
advice_levels_advice_item_title_-1623094700	Suggested Recruitment...	false
advice_levels_advice_item_title_-1635957969	Brigands Abound!	false
advice_levels_advice_item_title_-1637797131	Suggested Construction...	false
advice_levels_advice_item_title_-1638244308	Where to Start?	false
advice_levels_advice_item_title_-1641034490	Suggested Construction...	false
advice_levels_advice_item_title_-1641913562	Pursued!	false
advice_levels_advice_item_title_-1645019136	Imams	false
advice_levels_advice_item_title_-1650129001	Suggested Research...	false
advice_levels_advice_item_title_-1666667854	Draw their Fire	false
advice_levels_advice_item_title_-1671835166	Hustings!	false
advice_levels_advice_item_title_-168058357	Artillery Deployment	false
advice_levels_advice_item_title_-1682055146	Suggested Research...	false
advice_levels_advice_item_title_-1684522267	Suggested Construction...	false
advice_levels_advice_item_title_-1698295042	Suggested Recruitment...	false
advice_levels_advice_item_title_-1701749777	Cavalry Charges	false
advice_levels_advice_item_title_-1705930648	Suggested Recruitment...	false
advice_levels_advice_item_title_-1711247268	Fougasse	false
advice_levels_advice_item_title_-1728902803	A Change of Commander	false
advice_levels_advice_item_title_-1730173744	Constructing a Plantation	false
advice_levels_advice_item_title_-173615649	Howitzers	false
advice_levels_advice_item_title_-174045022	Suggested Recruitment...	false
advice_levels_advice_item_title_-1744509802	Defence against Cavalry	false
advice_levels_advice_item_title_-174893187	Building Details	false
advice_levels_advice_item_title_-1749073444	Recruiting a Unit	false
advice_levels_advice_item_title_-1751621401	Suggested Recruitment...	false
advice_levels_advice_item_title_-1755835367	Radar Map	false
advice_levels_advice_item_title_-1758243898	Common Knowledge	false
advice_levels_advice_item_title_-1759058079	Post-Battle Statistics	false
advice_levels_advice_item_title_-1759382389	Suggested Construction...	false
advice_levels_advice_item_title_-175988330	Suggested Recruitment...	false
advice_levels_advice_item_title_-1766231494	Where to Start?	false
advice_levels_advice_item_title_-176910586	Suggested Recruitment...	false
advice_levels_advice_item_title_-1775307979	Movement of Thugees	false
advice_levels_advice_item_title_-1776968026	Suggested Recruitment...	false
advice_levels_advice_item_title_-1781079850	Suggested Recruitment...	false
advice_levels_advice_item_title_-1785102587	Holding Elections	false
advice_levels_advice_item_title_-1790533301	Suggested Research...	false
advice_levels_advice_item_title_-1794309329	Suggested Recruitment...	false
advice_levels_advice_item_title_-1805368716	Camera Controls	false
advice_levels_advice_item_title_-1805634160	Suggested Recruitment...	false
advice_levels_advice_item_title_-1808331232	Where to Start?	false
advice_levels_advice_item_title_-1808504559	Farms	false
advice_levels_advice_item_title_-1810712630	Suggested Recruitment...	false
advice_levels_advice_item_title_-1818210944	Shrapnel	false
advice_levels_advice_item_title_-1827006635	Fire at Will Button	false
advice_levels_advice_item_title_-1831201196	Suggested Recruitment...	false
advice_levels_advice_item_title_-1833879664	Suggested Construction...	false
advice_levels_advice_item_title_-1838000585	Suggested Recruitment...	false
advice_levels_advice_item_title_-1845849109	Suggested Construction...	false
advice_levels_advice_item_title_-1848444026	Fire at Will	false
advice_levels_advice_item_title_-1848628710	Suggested Recruitment...	false
advice_levels_advice_item_title_-1852972434	Suggested Recruitment...	false
advice_levels_advice_item_title_-1854445220	Suggested Recruitment...	false
advice_levels_advice_item_title_-1867697595	Suggested Construction...	false
advice_levels_advice_item_title_-1870445084	Suggested Research...	false
advice_levels_advice_item_title_-1871866990	Happiness	false
advice_levels_advice_item_title_-1875537007	Suggested Construction...	false
advice_levels_advice_item_title_-1875830202	Missile Superiority	false
advice_levels_advice_item_title_-1879621716	Suggested Construction...	false
advice_levels_advice_item_title_-1880657710	Suggested Construction...	false
advice_levels_advice_item_title_-188258973	Suggested Recruitment...	false
advice_levels_advice_item_title_-1886952522	Where to Start?	false
advice_levels_advice_item_title_-1889870617	Suggested Recruitment...	false
advice_levels_advice_item_title_-1890476358	Attacking River Crossings	false
advice_levels_advice_item_title_-1892323933	Unlimbering Artillery	false
advice_levels_advice_item_title_-1899489232	Fighting to the Death	false
advice_levels_advice_item_title_-1900368136	Suggested Research...	false
advice_levels_advice_item_title_-1901858416	Declare War	false
advice_levels_advice_item_title_-1904237373	Suggested Research...	false
advice_levels_advice_item_title_-1906180227	Cavalry in Defence	false
advice_levels_advice_item_title_-1909521793	Suggested Recruitment...	false
advice_levels_advice_item_title_-1912535864	Suggested Construction...	false
advice_levels_advice_item_title_-1919018811	Building a navy	false
advice_levels_advice_item_title_-1922422772	Good Bombardment Target	false
advice_levels_advice_item_title_-1923096311	Bigger Guns	false
advice_levels_advice_item_title_-192886419	Suggested Recruitment...	false
advice_levels_advice_item_title_-1929067109	Suggested Recruitment...	false
advice_levels_advice_item_title_-1944162018	Walls Breached!	false
advice_levels_advice_item_title_-1944425564	Suggested Construction...	false
advice_levels_advice_item_title_-1944874567	Group Button	false
advice_levels_advice_item_title_-194615910	Technology Details	false
advice_levels_advice_item_title_-1946638054	Suggested Construction...	false
advice_levels_advice_item_title_-1948085763	Run Aground!	false
advice_levels_advice_item_title_-1951772539	Suggested Construction...	false
advice_levels_advice_item_title_-1953973669	Suggested Construction...	false
advice_levels_advice_item_title_-1959562032	Sabotage	false
advice_levels_advice_item_title_-1961571108	Trade Agreement	false
advice_levels_advice_item_title_-1961998855	Driving Off Skirmishers	false
advice_levels_advice_item_title_-1962069695	Suggested Recruitment...	false
advice_levels_advice_item_title_-1969504513	Suggested Research...	false
advice_levels_advice_item_title_-1969897884	Cavalry against Pikemen	false
advice_levels_advice_item_title_-198409726	Thugees	false
advice_levels_advice_item_title_-1985907868	Suggested Construction...	false
advice_levels_advice_item_title_-1989346256	Suggested Recruitment...	false
advice_levels_advice_item_title_-1992383240	Movement of Hashishin	false
advice_levels_advice_item_title_-1993266800	Suggested Recruitment...	false
advice_levels_advice_item_title_-1995657968	Armies	false
advice_levels_advice_item_title_-1997236953	Constructing a Fishery	false
advice_levels_advice_item_title_-1999396619	Agent Details	false
advice_levels_advice_item_title_-2002946048	Attacking with Camels	false
advice_levels_advice_item_title_-2003184560	Suggested Recruitment...	false
advice_levels_advice_item_title_-2004098759	Suggested Construction...	false
advice_levels_advice_item_title_-2004663178	Find a Weak Spot	false
advice_levels_advice_item_title_-2007422063	Victory Condition	false
advice_levels_advice_item_title_-2014914668	Cavalry against Outflanking	false
advice_levels_advice_item_title_-2017184177	Suggested Recruitment...	false
advice_levels_advice_item_title_-2017583094	Technologies	false
advice_levels_advice_item_title_-2018793501	Razee Characteristics	false
advice_levels_advice_item_title_-2023390722	Wooden Stakes	false
advice_levels_advice_item_title_-2029014381	Suggested Construction...	false
advice_levels_advice_item_title_-20296952	Suggested Recruitment...	false
advice_levels_advice_item_title_-2033018457	Vineyards	false
advice_levels_advice_item_title_-2039862233	Post-battle Statistics	false
advice_levels_advice_item_title_-2047938396	Suggested Recruitment...	false
advice_levels_advice_item_title_-2061792637	Suggested Research...	false
advice_levels_advice_item_title_-2064609509	Suggested Research...	false
advice_levels_advice_item_title_-2074217292	Cavalry Charge!	false
advice_levels_advice_item_title_-2079758977	Running Amok	false
advice_levels_advice_item_title_-208627057	Strafing the Camera	false
advice_levels_advice_item_title_-2095611480	Suggested Research...	false
advice_levels_advice_item_title_-2095797098	Gentlemen	false
advice_levels_advice_item_title_-2101003372	Suggested Research...	false
advice_levels_advice_item_title_-2114504532	Suggested Construction...	false
advice_levels_advice_item_title_-2117596656	Sloop Characteristics	false
advice_levels_advice_item_title_-2120431405	Suggested Recruitment...	false
advice_levels_advice_item_title_-2120804883	Radar Map	false
advice_levels_advice_item_title_-2126980281	Suggested Construction...	false
advice_levels_advice_item_title_-2128750829	Suggested Recruitment...	false
advice_levels_advice_item_title_-2129806598	Suggested Recruitment...	false
advice_levels_advice_item_title_-2130399566	Suggested Research...	false
advice_levels_advice_item_title_-2134517828	Enrage the Enemy	false
advice_levels_advice_item_title_-2140064507	Diplomatic Relations	false
advice_levels_advice_item_title_-2140377823	Suggested Construction...	false
advice_levels_advice_item_title_-2142616193	Suggested Construction...	false
advice_levels_advice_item_title_-2144518529	Suggested Recruitment...	false
advice_levels_advice_item_title_-219212433	Suggested Research...	false
advice_levels_advice_item_title_-225357316	Suggested Recruitment...	false
advice_levels_advice_item_title_-23369280	Suggested Research...	false
advice_levels_advice_item_title_-234324348	Suggested Research...	false
advice_levels_advice_item_title_-234487411	Outflanking	false
advice_levels_advice_item_title_-237447599	Military Access	false
advice_levels_advice_item_title_-241052794	Lower Order Taxation	false
advice_levels_advice_item_title_-245512357	Suggested Recruitment...	false
advice_levels_advice_item_title_-245662021	Wavy Line Formation	false
advice_levels_advice_item_title_-245999870	Unexploited Resources	false
advice_levels_advice_item_title_-250658412	Replacing Ministers	false
advice_levels_advice_item_title_-251728467	Suggested Research...	false
advice_levels_advice_item_title_-253383613	Suggested Recruitment...	false
advice_levels_advice_item_title_-25508009	Suggested Construction...	false
