ancillary	effect	value
Ancillary_Pet_Monkey	subterfuge_sabotage	1.0000
Ancillary_Pet_Monkey	subterfuge_spying	1.0000
Ancillary_Pet_Sacred_Cow	happy_mod_religious_unrest	-10.0000
Ancillary_Pet_Tiger	management_justice	-1.0000
Ancillary_Pet_Tiger	repression_character	2.0000
Ancillary_Poet	happy_character_lower	-1.0000
Ancillary_Poet	happy_character_upper	1.0000
Ancillary_Poet	prestige_enlightenment_generic	1.0000
Ancillary_Police_Torturer	management_justice	1.0000
Ancillary_Police_Torturer	repression_character	2.0000
Ancillary_Presentation_Sword_1	morale_bonus	2.0000
Ancillary_Presentation_Sword_2	Command_Sea_Attack	1.0000
Ancillary_Presentation_Sword_2	morale_bonus	1.0000
Ancillary_Rake_Bawd	subterfuge_spying	2.0000
Ancillary_Religion_Bishop	happy_mod_religious_unrest	5.0000
Ancillary_Religion_Bishop	repression_character	1.0000
Ancillary_Religion_Imam_Learned	happy_character_upper	1.0000
Ancillary_Religion_Imam_Learned	happy_mod_religious_unrest	-5.0000
Ancillary_Religion_Imam_Rabblerouser	happy_character_lower	1.0000
Ancillary_Religion_Imam_Rabblerouser	happy_mod_religious_unrest	5.0000
Ancillary_Religion_Methodist	happy_character_lower	1.0000
Ancillary_Religion_Methodist	happy_character_middle	1.0000
Ancillary_Religion_Methodist	happy_mod_religious_unrest	5.0000
Ancillary_Research_Lunatic_Jack	research_points_enlightenment	1.0000
Ancillary_Research_Lunatic_Jack	research_points_military	-1.0000
Ancillary_Research_Taxonomist	research_points_enlightenment	2.0000
Ancillary_Tax_Farmer	happy_character_lower	-2.0000
Ancillary_Tax_Farmer	tax_bonus_governor	6.0000
Ancillary_Wife_Ambitious	happy_character_upper	-1.0000
Ancillary_Wife_Unpleasant	happy_character_lower	-1.0000
Ancillary_Wife_Unpleasant	happy_character_middle	-1.0000
Ancilllary_Dead_Parrot_Pirate	morale_bonus	-1.0000
Ancilllary_Pet_Parrot_Nasty	Command_Sea_Attack	1.0000
Ancilllary_Pet_Parrot_Ordinary	morale_bonus	1.0000
Ancilllary_Pet_Parrot_Pirate	Command_Sea_Frigates	1.0000
Government_Spying_Locksmith	happy_character_middle	-1.0000
Government_Spying_Locksmith	happy_character_upper	-1.0000
Government_Spying_Locksmith	repression_character	2.0000
