key	morale	mothball_cost	reactive_cost	admiral_promotion_cost_record	bow_chasers	stern_chasers	deck_1_top	deck_2	deck_3	deck_4	deck_5	ship_model	admiral	officer1	officer2	officer3	num_marines	num_seamen	num_gunners	core_gunner_marksmanship	core_gunner_loading_skill	firing_mechanism	water_bail_out_modifier	flood_threshold_to_sink	fire_risk_modifier	mass	collision_momentum_modifier	formation_distance	minimum_distance	formation_integrity	top_speed	acceleration	stopping_threshold	heel_factor	beating_angle	max_yard_angle	sail_furl_angle	speed_wind_astern	speed_15_deg	speed_30_deg	speed_45_deg	speed_60_deg	speed_75_deg	speed_90_deg	speed_105_deg	speed_120_deg	speed_135_deg	speed_145_deg	speed_180_deg	position_damping	rotation_damping	turn_rate_at_full_speed	turn_rate_at_10_percent	turn_rate_at_20_percent	turn_rate_at_35_percent	turn_rate_at_50_percent	turn_rate_at_65_percent	turn_rate_at_80_percent	turn_rate_stopped	top_gallants_allowed	side_panels_above_water_1_top_armour	side_panels_above_water_1_top_hits	side_panels_above_water_1_top_critical	side_panels_above_water_2_top_armour	side_panels_above_water_2_top_hits	side_panels_above_water_2_top_critical	side_panels_below_water_armour	side_panels_below_water_hits	side_panels_below_water_critical	prow_panels_above_water_armour	prow_panels_above_water_hits	prow_panels_above_water_critical	prow_panels_below_water_armour	prow_panels_below_water_hits	prow_panels_below_water_critical	stern_panels_above_water_armour	stern_panels_above_water_hits	stern_panels_above_water_critical	stern_panels_below_water_armour	stern_panels_below_water_hits	stern_panels_below_water_critical	mast_1_front_armour	mast_1_front_hits	mast_1_front_critical	mast_2_armour	mast_2_hits	mast_2_critical	mast_3_armour	mast_3_hits	mast_3_critical	top_sails_armour	top_sails_hits	top_sails_critical	middle_sails_armour	middle_sails_hits	middle_sails_critical	bottom_sails_armour	bottom_sails_hits	bottom_sails_critical	top_gallants_sails_armour	top_gallants_sails_hits	top_gallants_sails_critical	mast_bowsprit_armour	mast_bowsprit_hits	mast_bowsprit_critical	front_sails_armour	front_sails_hits	front_sails_critical	back_sails_armour	back_sails_hits	back_sails_critical	magazine_armour	magazine_hits	magazine_critical	scares_enemies	inspire	can_trade	stat_bar_manouevrability_rating	stat_bar_hull_strength
1st_rate_french	10	20	220	1st_rate_admiral_french	naval_6_pounder	naval_6_pounder		naval_6_pounder	naval_12_pounder	naval_24_pounder	naval_32_pounder	3deck100_fr	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	30	30	204	40	10	matchlock	4.5000	0.1000	0.8000	3210	0.8000	100	80	7	13	0.9000	23.0000	0.6000	128	25	130	0.8925	0.9450	0.9975	0.9450	0.8925	0.8400	0.7875	0.7350	0.6825	0.6195	0.5040	0.3990	0.1700	0.1200	1.6275	3.9375	4.4625	4.9875	4.4625	3.9375	2.7825	1.2075	true	3	270	0.7000	3	420	0.7000	5	595	0.9500	3	420	0.7000	5	595	0.9500	1	30	0.1000	5	595	0.9500	3	170	0.8000	3	170	0.8000	3	170	0.8000	1	195	0.0000	1	243	0.0000	1	303	0.0000	1	165	0.0000	3	170	0.8000	1	165	0.0000	1	165	0.0000	1	70	0.9500	false	false	false	Low	8568
1st_rate_russian	10	20	220	1st_rate_admiral_russian	naval_6_pounder	naval_6_pounder		naval_6_pounder	naval_12_pounder	naval_24_pounder	naval_32_pounder	3deck100_ru	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	30	30	204	30	10	matchlock	4.5000	0.1000	0.8000	3210	0.8000	100	80	7	12	0.7000	23.0000	0.6000	130	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	1.5500	3.7500	4.2500	4.7500	4.2500	3.7500	2.6500	1.1500	true	3	270	0.7000	3	420	0.7000	5	595	0.9500	3	420	0.7000	5	595	0.9500	1	30	0.1000	5	595	0.9500	3	170	0.8000	3	170	0.8000	3	170	0.8000	1	195	0.0000	1	243	0.0000	1	303	0.0000	1	165	0.0000	3	170	0.8000	1	165	0.0000	1	165	0.0000	1	70	0.9500	false	false	false	Low	8368
1st_rate_spanish	10	20	220	1st_rate_admiral_spanish	naval_6_pounder	naval_6_pounder		naval_6_pounder	naval_12_pounder	naval_24_pounder	naval_32_pounder	3deck100_sp	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	30	30	204	30	10	matchlock	4.5000	0.1000	0.8000	3210	0.8000	100	80	7	12	0.7000	23.0000	0.6000	130	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	1.5500	3.7500	4.2500	4.7500	4.2500	3.7500	2.6500	1.1500	true	3	270	0.7000	3	420	0.7000	5	595	0.9500	3	420	0.7000	5	595	0.9500	1	30	0.1000	5	595	0.9500	3	170	0.8000	3	170	0.8000	3	170	0.8000	1	195	0.0000	1	243	0.0000	1	303	0.0000	1	165	0.0000	3	170	0.8000	1	165	0.0000	1	165	0.0000	1	70	0.9500	false	false	false	Low	8368
2nd_rate	10	17	190	1st_rate_admiral	naval_6_pounder				naval_12_pounder	naval_18_pounder	naval_32_pounder	3deck80	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	28	28	168	30	10	matchlock	4.5000	0.1000	0.8000	2715	0.9000	100	80	8	12	0.8000	22.0000	0.7000	135	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	1.8000	4.0000	4.5000	5.0000	4.5000	4.0000	2.9000	1.2000	true	3	235	0.7000	3	370	0.7000	5	520	0.9500	3	370	0.7000	5	520	0.9500	1	28	0.1000	5	520	0.9500	3	165	0.8000	3	165	0.8000	3	165	0.8000	1	190	0.0000	1	237	0.0000	1	296	0.0000	1	161	0.0000	3	165	0.8000	1	161	0.0000	1	161	0.0000	1	70	0.9500	false	false	false	Low	6486
2nd_rate_american	11	17	190	1st_rate_admiral_american	naval_6_pounder				naval_12_pounder	naval_18_pounder	naval_32_pounder	3deck80	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	28	28	168	30	20	matchlock	4.5000	0.1000	0.8000	2715	0.9000	100	80	8	12	0.8000	22.0000	0.7000	135	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	1.8000	4.0000	4.5000	5.0000	4.5000	4.0000	2.9000	1.2000	true	3	246	0.7000	3	388	0.7000	5	546	0.9500	3	388	0.7000	5	546	0.9500	1	29	0.1000	5	546	0.9500	3	165	0.8000	3	165	0.8000	3	165	0.8000	1	190	0.0000	1	237	0.0000	1	296	0.0000	1	161	0.0000	3	165	0.8000	1	161	0.0000	1	161	0.0000	1	73	0.9500	false	false	false	Low	6796
2nd_rate_british	11	17	190	1st_rate_admiral_british	naval_6_pounder				naval_12_pounder	naval_18_pounder	naval_32_pounder	3deck80	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	28	28	168	30	25	matchlock	4.5000	0.1000	0.8000	2715	0.9000	100	80	10	12	0.8000	22.0000	0.7000	137	26	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	1.8000	4.0000	4.5000	5.0000	4.5000	4.0000	2.9000	1.2000	true	3	246	0.7000	3	388	0.7000	5	546	0.9500	3	388	0.7000	5	546	0.9500	1	29	0.1000	5	546	0.9500	3	165	0.8000	3	165	0.8000	3	165	0.8000	1	190	0.0000	1	237	0.0000	1	296	0.0000	1	161	0.0000	3	165	0.8000	1	161	0.0000	1	161	0.0000	1	73	0.9500	false	false	false	Low	6796
2nd_rate_french	10	17	190	1st_rate_admiral_french	naval_6_pounder				naval_12_pounder	naval_18_pounder	naval_32_pounder	3deck80	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	28	28	168	40	10	matchlock	4.5000	0.1000	0.8000	2715	0.9000	100	80	8	13	1.0000	22.0000	0.7000	135	25	130	0.8925	0.9450	0.9975	0.9450	0.8925	0.8400	0.7875	0.7350	0.6825	0.6195	0.5040	0.3990	0.1700	0.1200	1.8900	4.2000	4.7250	5.2500	4.7250	4.2000	3.0450	1.2600	true	3	235	0.7000	3	370	0.7000	5	520	0.9500	3	370	0.7000	5	520	0.9500	1	28	0.1000	5	520	0.9500	3	165	0.8000	3	165	0.8000	3	165	0.8000	1	190	0.0000	1	237	0.0000	1	296	0.0000	1	161	0.0000	3	165	0.8000	1	161	0.0000	1	161	0.0000	1	70	0.9500	false	false	false	Low	6620
2nd_rate_spanish	10	17	190	1st_rate_admiral_spanish	naval_6_pounder				naval_12_pounder	naval_18_pounder	naval_32_pounder	3deck80	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	28	28	168	30	10	matchlock	4.5000	0.1000	0.8000	2715	0.9000	100	80	8	12	0.8000	22.0000	0.7000	135	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	1.8000	4.0000	4.5000	5.0000	4.5000	4.0000	2.9000	1.2000	true	3	235	0.7000	3	370	0.7000	5	520	0.9500	3	370	0.7000	5	520	0.9500	1	28	0.1000	5	520	0.9500	3	165	0.8000	3	165	0.8000	3	165	0.8000	1	190	0.0000	1	237	0.0000	1	296	0.0000	1	161	0.0000	3	165	0.8000	1	161	0.0000	1	161	0.0000	1	70	0.9500	false	false	false	Low	6486
3rd_rate	10	14	160	3rd_rate_admiral	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	40	15	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	14	0.9000	21.0000	0.8000	138	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	2.0500	4.2500	4.7500	5.2500	4.7500	4.2500	3.1500	1.3000	true	3	160	0.7000	3	230	0.7000	4	318	0.9500	3	230	0.7000	4	318	0.9500	1	20	0.1000	4	318	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	70	0.9500	false	false	false	Low	4582
3rd_rate_admiral	9	14	160	3rd_rate_admiral	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	40	15	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	14	0.9000	21.0000	0.8000	138	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	2.0500	4.2500	4.7500	5.2500	4.7500	4.2500	3.1500	1.3000	true	3	168	0.7000	3	241	0.7000	4	333	0.9500	3	241	0.7000	4	333	0.9500	1	21	0.1000	4	333	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	73	0.9500	false	true	false	Low	5280
3rd_rate_admiral_american	11	14	160	3rd_rate_admiral_american	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	40	25	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	14	0.9000	21.0000	0.8000	138	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	2.0500	4.2500	4.7500	5.2500	4.7500	4.2500	3.1500	1.3000	true	3	176	0.7000	3	253	0.7000	4	349	0.9500	3	253	0.7000	4	349	0.9500	1	22	0.1000	4	349	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	77	0.9500	false	true	false	Low	5544
3rd_rate_admiral_british	12	14	160	3rd_rate_admiral_british	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	40	30	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	14	0.9000	21.0000	0.8000	138	26	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	2.0500	4.2500	4.7500	5.2500	4.7500	4.2500	3.1500	1.3000	true	3	176	0.7000	3	253	0.7000	4	349	0.9500	3	253	0.7000	4	349	0.9500	1	22	0.1000	4	349	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	77	0.9500	false	true	false	Low	5544
3rd_rate_admiral_french	11	14	160	3rd_rate_admiral_french	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74_fr	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	50	15	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	15	1.1000	21.0000	0.8000	138	25	130	0.8925	0.9450	0.9975	0.9450	0.8925	0.8400	0.7875	0.7350	0.6825	0.6195	0.5040	0.3990	0.1700	0.1200	2.1525	4.4625	4.9875	5.5125	4.9875	4.4625	3.3075	1.3650	true	3	168	0.7000	3	241	0.7000	4	333	0.9500	3	241	0.7000	4	333	0.9500	1	21	0.1000	4	333	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	73	0.9500	false	true	false	Low	5422
3rd_rate_admiral_russian	11	14	160	3rd_rate_admiral_russian	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74_ru	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	40	15	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	14	0.9000	21.0000	0.8000	138	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	2.0500	4.2500	4.7500	5.2500	4.7500	4.2500	3.1500	1.3000	true	3	168	0.7000	3	241	0.7000	4	333	0.9500	3	241	0.7000	4	333	0.9500	1	21	0.1000	4	333	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	73	0.9500	false	true	false	Low	5280
3rd_rate_admiral_spanish	11	14	160	3rd_rate_admiral_spanish	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_9_pounder	naval_18_pounder	naval_32_pounder		2deck74_sp	test_admiral	test_naval_captain	test_naval_lieutenant	test_naval_bosun	26	26	144	40	15	matchlock	3.5000	0.1000	0.8000	2580	1.0000	95	75	8	14	0.9000	21.0000	0.8000	138	25	130	0.8500	0.9000	0.9500	0.9000	0.8500	0.8000	0.7500	0.7000	0.6500	0.5900	0.4800	0.3800	0.1700	0.1200	2.0500	4.2500	4.7500	5.2500	4.7500	4.2500	3.1500	1.3000	true	3	168	0.7000	3	241	0.7000	4	333	0.9500	3	241	0.7000	4	333	0.9500	1	21	0.1000	4	333	0.9500	3	160	0.8000	3	160	0.8000	3	160	0.8000	1	180	0.0000	1	225	0.0000	1	281	0.0000	1	153	0.0000	3	160	0.8000	1	153	0.0000	1	153	0.0000	1	73	0.9500	false	true	false	Low	5280
