building	effect	value
great_museum	happy_culture_middle	4.0000
great_museum	happy_culture_upper	4.0000
great_museum	prestige_message	1.0000
great_museum	tw_growth_education	4.0000
imperial_palace	agent_spawn_rate_basic_hidden	0.5000
imperial_palace	recruitment_points	3.0000
imperial_palace	region_turns_to_surrender	6.0000
imperial_palace	repression_building	5.0000
imperial_palace	tax_bonus_building	15.0000
improved_roads	enable_cadenced_marching	1.0000
improved_roads	tw_growth_roads	4.0000
improved_settlement_fortifications	happy_culture_lower	1.0000
improved_settlement_fortifications	happy_culture_middle	1.0000
improved_settlement_fortifications	happy_culture_upper	1.0000
improved_settlement_fortifications	large_city_fortifications	1.0000
improved_settlement_fortifications	prestige_message	1.0000
industrial_gold_mining_complex	gdp_mine	1600.0000
industrial_gold_mining_complex	happy_industrialisation_lower	-2.0000
industrial_gold_mining_complex	resource_prod_gold	1.0000
industrial_iron_mining_complex	gdp_mine	900.0000
industrial_iron_mining_complex	happy_industrialisation_lower	-2.0000
industrial_iron_mining_complex	resource_prod_iron	1.0000
industrial_silver_mining_complex	gdp_mine	1400.0000
industrial_silver_mining_complex	happy_industrialisation_lower	-2.0000
industrial_silver_mining_complex	resource_prod_silver	1.0000
iron_mine	gdp_mine	700.0000
iron_mine	resource_prod_iron	1.0000
iron_workshops	gdp_industry	600.0000
iron_workshops	tw_growth_industry	8.0000
ironmasters_works	gdp_industry	800.0000
ironmasters_works	happy_industrialisation_lower	-1.0000
ironmasters_works	tw_growth_industry	10.0000
kilns	gdp_industry	700.0000
kilns	happy_industrialisation_lower	-1.0000
kilns	tw_growth_industry	10.0000
large_coffee_plantation	commodity_prod_coffee	25.0000
large_cotton_plantation	commodity_prod_cotton	25.0000
large_spices_plantation	commodity_prod_spices	25.0000
large_sugar_plantation	commodity_prod_sugar	25.0000
large_tea_plantation	commodity_prod_tea	25.0000
large_tobacco_plantation	commodity_prod_tobacco	25.0000
local_fishery	gdp_port	200.0000
local_fishery	naval_recruitment_points	1.0000
local_fishery	pop_growth_port_fishing	0.3000
magistrate	agent_spawn_rate_basic_hidden	0.5000
magistrate	recruitment_points	1.0000
magistrate	region_turns_to_surrender	1.0000
magistrate	repression_building	1.0000
major_fishery	gdp_port	400.0000
major_fishery	naval_recruitment_points	1.0000
major_fishery	pop_growth_port_fishing	0.6000
military_academy	recruitment_points	2.0000
minor_governors_barracks	agent_spawn_rate_basic_hidden	0.5000
minor_governors_barracks	recruitment_points	2.0000
minor_governors_barracks	region_turns_to_surrender	2.0000
minor_governors_barracks	repression_building	1.0000
minor_governors_barracks	tax_bonus_building	3.0000
minor_governors_encampment	agent_spawn_rate_basic_hidden	0.5000
minor_governors_encampment	recruitment_points	1.0000
minor_governors_encampment	region_turns_to_surrender	2.0000
minor_governors_encampment	repression_building	1.0000
minor_governors_encampment	tax_bonus_building	3.0000
minor_governors_mansion	agent_spawn_rate_basic_hidden	0.5000
minor_governors_mansion	recruitment_points	1.0000
minor_governors_mansion	region_turns_to_surrender	3.0000
minor_governors_mansion	repression_building	2.0000
minor_governors_mansion	tax_bonus_building	6.0000
minor_governors_palace	agent_spawn_rate_basic_hidden	0.5000
minor_governors_palace	recruitment_points	1.0000
minor_governors_palace	region_turns_to_surrender	4.0000
minor_governors_palace	repression_building	3.0000
minor_governors_palace	tax_bonus_building	9.0000
minor_governors_residence	agent_spawn_rate_basic_hidden	0.5000
minor_governors_residence	recruitment_points	1.0000
minor_governors_residence	region_turns_to_surrender	2.0000
minor_governors_residence	repression_building	1.0000
minor_governors_residence	tax_bonus_building	3.0000
minor_magistrate	agent_spawn_rate_basic_hidden	0.5000
minor_magistrate	recruitment_points	1.0000
minor_magistrate	region_turns_to_surrender	1.0000
minor_magistrate	repression_building	1.0000
minor_royal_palace	agent_spawn_rate_basic_hidden	0.5000
minor_royal_palace	recruitment_points	2.0000
minor_royal_palace	region_turns_to_surrender	5.0000
minor_royal_palace	repression_building	4.0000
minor_royal_palace	tax_bonus_building	12.0000
naval_board	prestige_message	1.0000
naval_college	prestige_message	1.0000
naval_hospital	naval_recruitment_points	4.0000
naval_hospital	prestige_message	1.0000
open_gem_pit	gdp_mine	700.0000
open_gem_pit	resource_prod_gems	1.0000
opera_house	happy_culture_lower	2.0000
opera_house	happy_culture_middle	2.0000
opera_house	happy_culture_upper	2.0000
opera_house	tw_growth_education	2.0000
pleasure_gardens	agent_spawn_rate_assassin	4.0000
pleasure_gardens	agent_spawn_rate_rake	4.0000
pleasure_gardens	happy_culture_lower	5.0000
pleasure_gardens	happy_culture_middle	5.0000
pleasure_gardens	happy_culture_upper	2.0000
pleasure_gardens	prestige_message	1.0000
pottery_workshops	gdp_industry	500.0000
pottery_workshops	tw_growth_industry	8.0000
prest_austria_albertina	happy_culture_lower	5.0000
prest_austria_albertina	happy_culture_middle	5.0000
prest_austria_albertina	happy_culture_upper	5.0000
prest_austria_albertina	prestige_message	1.0000
prest_austria_albertina	tw_growth_education	8.0000
prest_austria_hofburg	agent_spawn_rate_basic_hidden	0.5000
prest_austria_hofburg	happy_culture_lower	1.0000
prest_austria_hofburg	happy_culture_middle	1.0000
prest_austria_hofburg	happy_culture_upper	1.0000
prest_austria_hofburg	prestige_message	1.0000
prest_austria_hofburg	recruitment_points	3.0000
prest_austria_hofburg	region_turns_to_surrender	6.0000
prest_austria_hofburg	repression_building	5.0000
prest_austria_hofburg	tax_bonus_building	15.0000
prest_britain_british_museum	happy_culture_lower	5.0000
prest_britain_british_museum	happy_culture_middle	5.0000
prest_britain_british_museum	happy_culture_upper	5.0000
prest_britain_british_museum	prestige_message	1.0000
prest_britain_british_museum	tw_growth_education	8.0000
prest_britain_somerset_house	agent_spawn_rate_basic_hidden	0.5000
prest_britain_somerset_house	happy_culture_lower	1.0000
prest_britain_somerset_house	happy_culture_middle	1.0000
prest_britain_somerset_house	happy_culture_upper	1.0000
prest_britain_somerset_house	prestige_message	1.0000
prest_britain_somerset_house	recruitment_points	3.0000
prest_britain_somerset_house	region_turns_to_surrender	6.0000
prest_britain_somerset_house	repression_building	5.0000
prest_britain_somerset_house	tax_bonus_building	15.0000
prest_france_arc_de_triomphe	happy_culture_lower	1.0000
prest_france_arc_de_triomphe	happy_culture_middle	1.0000
prest_france_arc_de_triomphe	happy_culture_upper	1.0000
prest_france_arc_de_triomphe	prestige_message	1.0000
prest_france_arc_de_triomphe	recruitment_points	4.0000
prest_france_palais_bourbon	agent_spawn_rate_basic_hidden	0.5000
prest_france_palais_bourbon	happy_culture_lower	1.0000
prest_france_palais_bourbon	happy_culture_middle	1.0000
prest_france_palais_bourbon	happy_culture_upper	1.0000
prest_france_palais_bourbon	prestige_message	1.0000
prest_france_palais_bourbon	recruitment_points	3.0000
prest_france_palais_bourbon	region_turns_to_surrender	6.0000
prest_france_palais_bourbon	repression_building	5.0000
prest_france_palais_bourbon	tax_bonus_building	15.0000
prest_maratha_ajinkyatara	happy_culture_lower	1.0000
prest_maratha_ajinkyatara	happy_culture_middle	1.0000
prest_maratha_ajinkyatara	happy_culture_upper	1.0000
prest_maratha_ajinkyatara	prestige_message	1.0000
prest_maratha_ajinkyatara	recruitment_points	4.0000
prest_maratha_shaniwarwada	agent_spawn_rate_basic_hidden	0.5000
prest_maratha_shaniwarwada	happy_culture_lower	1.0000
prest_maratha_shaniwarwada	happy_culture_middle	1.0000
prest_maratha_shaniwarwada	happy_culture_upper	1.0000
prest_maratha_shaniwarwada	prestige_message	1.0000
prest_maratha_shaniwarwada	recruitment_points	3.0000
prest_maratha_shaniwarwada	region_turns_to_surrender	6.0000
prest_maratha_shaniwarwada	repression_building	5.0000
prest_maratha_shaniwarwada	tax_bonus_building	15.0000
prest_ottomans_naval_engineering_school	happy_culture_lower	1.0000
prest_ottomans_naval_engineering_school	happy_culture_middle	1.0000
prest_ottomans_naval_engineering_school	happy_culture_upper	1.0000
prest_ottomans_naval_engineering_school	prestige_message	1.0000
prest_ottomans_naval_engineering_school	upkeep_cost_mod_naval_all	-5.0000
prest_ottomans_nur-u_osmaniye_mosque	happy_culture_lower	5.0000
prest_ottomans_nur-u_osmaniye_mosque	happy_culture_middle	5.0000
prest_ottomans_nur-u_osmaniye_mosque	happy_culture_upper	5.0000
prest_ottomans_nur-u_osmaniye_mosque	prestige_message	1.0000
prest_ottomans_nur-u_osmaniye_mosque	tw_growth_education	8.0000
prest_poland_akademia	happy_culture_lower	1.0000
prest_poland_akademia	happy_culture_middle	1.0000
prest_poland_akademia	happy_culture_upper	1.0000
prest_poland_akademia	prestige_message	1.0000
prest_poland_akademia	recruitment_points	4.0000
prest_poland_lazienki_park	happy_culture_lower	5.0000
prest_poland_lazienki_park	happy_culture_middle	5.0000
prest_poland_lazienki_park	happy_culture_upper	5.0000
prest_poland_lazienki_park	prestige_message	1.0000
prest_poland_lazienki_park	tw_growth_education	8.0000
prest_prussia_berlin_academy	agent_research_slots	3.0000
prest_prussia_berlin_academy	agent_spawn_rate_eastern_scholar	9.0000
prest_prussia_berlin_academy	agent_spawn_rate_gentleman	9.0000
prest_prussia_berlin_academy	happy_culture_lower	3.0000
prest_prussia_berlin_academy	happy_culture_middle	3.0000
prest_prussia_berlin_academy	happy_culture_upper	3.0000
prest_prussia_berlin_academy	prestige_message	1.0000
prest_prussia_berlin_academy	tw_growth_education	12.0000
prest_prussia_brandenburg_gate	happy_culture_lower	1.0000
prest_prussia_brandenburg_gate	happy_culture_middle	1.0000
prest_prussia_brandenburg_gate	happy_culture_upper	1.0000
prest_prussia_brandenburg_gate	prestige_message	1.0000
prest_prussia_brandenburg_gate	recruitment_points	4.0000
prest_russia_kunstkamara	happy_culture_lower	5.0000
prest_russia_kunstkamara	happy_culture_middle	5.0000
prest_russia_kunstkamara	happy_culture_upper	5.0000
prest_russia_kunstkamara	prestige_message	1.0000
prest_russia_kunstkamara	tw_growth_education	8.0000
prest_russia_winter_palace	agent_spawn_rate_basic_hidden	0.5000
prest_russia_winter_palace	happy_culture_lower	1.0000
prest_russia_winter_palace	happy_culture_middle	1.0000
prest_russia_winter_palace	happy_culture_upper	1.0000
prest_russia_winter_palace	prestige_message	1.0000
prest_russia_winter_palace	recruitment_points	3.0000
prest_russia_winter_palace	region_turns_to_surrender	6.0000
prest_russia_winter_palace	repression_building	5.0000
prest_russia_winter_palace	tax_bonus_building	15.0000
prest_spain_academia	agent_research_slots	3.0000
prest_spain_academia	agent_spawn_rate_eastern_scholar	9.0000
prest_spain_academia	agent_spawn_rate_gentleman	9.0000
prest_spain_academia	happy_culture_lower	3.0000
prest_spain_academia	happy_culture_middle	3.0000
prest_spain_academia	happy_culture_upper	3.0000
prest_spain_academia	prestige_message	1.0000
prest_spain_academia	tw_growth_education	12.0000
prest_spain_palacio_real_de_madrid	agent_spawn_rate_basic_hidden	0.5000
prest_spain_palacio_real_de_madrid	happy_culture_lower	1.0000
prest_spain_palacio_real_de_madrid	happy_culture_middle	1.0000
prest_spain_palacio_real_de_madrid	happy_culture_upper	1.0000
prest_spain_palacio_real_de_madrid	prestige_message	1.0000
prest_spain_palacio_real_de_madrid	recruitment_points	3.0000
prest_spain_palacio_real_de_madrid	region_turns_to_surrender	6.0000
prest_spain_palacio_real_de_madrid	repression_building	5.0000
prest_spain_palacio_real_de_madrid	tax_bonus_building	15.0000
prest_sweden_konglig_museum	happy_culture_lower	5.0000
prest_sweden_konglig_museum	happy_culture_middle	5.0000
prest_sweden_konglig_museum	happy_culture_upper	5.0000
prest_sweden_konglig_museum	prestige_message	1.0000
prest_sweden_konglig_museum	tw_growth_education	8.0000
prest_sweden_slott	agent_spawn_rate_basic_hidden	0.5000
prest_sweden_slott	happy_culture_lower	1.0000
prest_sweden_slott	happy_culture_middle	1.0000
prest_sweden_slott	happy_culture_upper	1.0000
prest_sweden_slott	prestige_message	1.0000
prest_sweden_slott	recruitment_points	3.0000
prest_sweden_slott	region_turns_to_surrender	6.0000
prest_sweden_slott	repression_building	5.0000
prest_sweden_slott	tax_bonus_building	15.0000
prest_unitedprovinces_kweekschool	happy_culture_lower	1.0000
prest_unitedprovinces_kweekschool	happy_culture_middle	1.0000
prest_unitedprovinces_kweekschool	happy_culture_upper	1.0000
prest_unitedprovinces_kweekschool	prestige_message	1.0000
prest_unitedprovinces_kweekschool	upkeep_cost_mod_naval_all	-5.0000
prest_unitedprovinces_teylers_museum	happy_culture_lower	5.0000
prest_unitedprovinces_teylers_museum	happy_culture_middle	5.0000
prest_unitedprovinces_teylers_museum	happy_culture_upper	5.0000
prest_unitedprovinces_teylers_museum	prestige_message	1.0000
prest_unitedprovinces_teylers_museum	tw_growth_education	8.0000
prest_usa_independence_hall	agent_spawn_rate_basic_hidden	0.5000
prest_usa_independence_hall	happy_culture_lower	1.0000
prest_usa_independence_hall	happy_culture_middle	1.0000
prest_usa_independence_hall	happy_culture_upper	1.0000
prest_usa_independence_hall	prestige_message	1.0000
prest_usa_independence_hall	recruitment_points	3.0000
prest_usa_independence_hall	region_turns_to_surrender	6.0000
prest_usa_independence_hall	repression_building	5.0000
prest_usa_independence_hall	tax_bonus_building	15.0000
prest_usa_smithsonian	happy_culture_lower	5.0000
prest_usa_smithsonian	happy_culture_middle	5.0000
prest_usa_smithsonian	happy_culture_upper	5.0000
prest_usa_smithsonian	prestige_message	1.0000
prest_usa_smithsonian	tw_growth_education	8.0000
rel_catholic_0	agent_spawn_rate_missionary_catholic	3.0000
rel_catholic_0	conversion_catholic	1.0000
rel_catholic_0	happy_religion_catholic	1.0000
rel_catholic_1	agent_spawn_rate_missionary_catholic	6.0000
rel_catholic_1	conversion_catholic	2.0000
rel_catholic_1	happy_religion_catholic	2.0000
rel_catholic_2	agent_spawn_rate_missionary_catholic	9.0000
rel_catholic_2	conversion_catholic	3.0000
rel_catholic_2	happy_religion_catholic	4.0000
rel_hindu_0	agent_spawn_rate_missionary_hindu	3.0000
rel_hindu_0	conversion_hindu	1.0000
rel_hindu_0	happy_religion_hindu	1.0000
rel_hindu_1	agent_spawn_rate_missionary_hindu	6.0000
rel_hindu_1	conversion_hindu	2.0000
rel_hindu_1	happy_religion_hindu	2.0000
rel_hindu_2	agent_spawn_rate_missionary_hindu	9.0000
rel_hindu_2	conversion_hindu	3.0000
rel_hindu_2	happy_religion_hindu	4.0000
rel_islam_0	agent_spawn_rate_missionary_islam	3.0000
rel_islam_0	conversion_islamic	1.0000
rel_islam_0	happy_religion_islam	1.0000
rel_islam_1	agent_spawn_rate_missionary_islam	6.0000
rel_islam_1	conversion_islamic	2.0000
rel_islam_1	happy_religion_islam	2.0000
rel_islam_2	agent_spawn_rate_missionary_islam	9.0000
rel_islam_2	conversion_islamic	3.0000
rel_islam_2	happy_religion_islam	4.0000
rel_orthodox_0	agent_spawn_rate_missionary_orthodox	3.0000
rel_orthodox_0	conversion_orthodox	1.0000
rel_orthodox_0	happy_religion_orthodox	1.0000
rel_orthodox_1	agent_spawn_rate_missionary_orthodox	6.0000
rel_orthodox_1	conversion_orthodox	2.0000
rel_orthodox_1	happy_religion_orthodox	2.0000
rel_orthodox_2	agent_spawn_rate_missionary_orthodox	9.0000
rel_orthodox_2	conversion_orthodox	3.0000
rel_orthodox_2	happy_religion_orthodox	4.0000
rel_protestant_0	agent_spawn_rate_missionary_protestant	3.0000
rel_protestant_0	conversion_protestant	1.0000
rel_protestant_0	happy_religion_protestant	1.0000
rel_protestant_1	agent_spawn_rate_missionary_protestant	6.0000
rel_protestant_1	conversion_protestant	2.0000
rel_protestant_1	happy_religion_protestant	2.0000
rel_protestant_2	agent_spawn_rate_missionary_protestant	9.0000
rel_protestant_2	conversion_protestant	3.0000
rel_protestant_2	happy_religion_protestant	4.0000
rel_sikh_0	conversion_sikh	1.0000
rel_sikh_0	happy_religion_sikh	1.0000
rel_sikh_1	conversion_sikh	2.0000
rel_sikh_1	happy_religion_sikh	2.0000
rel_sikh_2	conversion_sikh	3.0000
rel_sikh_2	happy_religion_sikh	4.0000
rice_farming_commune	gdp_farm	200.0000
rice_farming_commune	pop_growth_farm	0.4000
rice_farming_commune	pop_maxpop_modifier	30.0000
rice_farming_commune	resource_prod_rice	1.0000
rice_farms	gdp_farm	150.0000
rice_farms	pop_growth_farm	0.3000
rice_farms	pop_maxpop_modifier	20.0000
rice_farms	resource_prod_rice	1.0000
rice_paddies	gdp_farm	100.0000
rice_paddies	pop_growth_farm	0.2000
rice_paddies	pop_maxpop_modifier	10.0000
rice_paddies	resource_prod_rice	1.0000
royal_academy	agent_research_slots	3.0000
royal_academy	agent_spawn_rate_eastern_scholar	9.0000
royal_academy	agent_spawn_rate_gentleman	9.0000
royal_academy	happy_culture_lower	2.0000
royal_academy	happy_culture_middle	2.0000
royal_academy	happy_culture_upper	2.0000
royal_academy	prestige_message	1.0000
royal_academy	tw_growth_education	12.0000
royal_observatory	agent_research_slots	2.0000
royal_observatory	agent_spawn_rate_eastern_scholar	6.0000
royal_observatory	agent_spawn_rate_gentleman	6.0000
royal_observatory	happy_culture_lower	2.0000
royal_observatory	happy_culture_middle	2.0000
royal_observatory	happy_culture_upper	2.0000
royal_observatory	prestige_message	1.0000
royal_observatory	tw_growth_education	8.0000
royal_palace	agent_spawn_rate_basic_hidden	0.5000
royal_palace	recruitment_points	2.0000
royal_palace	region_turns_to_surrender	5.0000
royal_palace	repression_building	4.0000
royal_palace	tax_bonus_building	12.0000
school	agent_research_slots	1.0000
school	agent_spawn_rate_eastern_scholar	3.0000
school	agent_spawn_rate_gentleman	3.0000
school	happy_clamour_for_reform_all_classes	-4.0000
school	research_points	9.0000
settlement_fortifications	small_city_fortifications	1.0000
sheep_clearances	gdp_farm	200.0000
sheep_clearances	happy_industrialisation_lower	-1.0000
sheep_clearances	pop_growth_farm	0.4000
sheep_clearances	pop_maxpop_modifier	20.0000
sheep_clearances	resource_prod_sheep	1.0000
sheep_great_estates	gdp_farm	250.0000
sheep_great_estates	pop_growth_farm	0.5000
sheep_great_estates	pop_maxpop_modifier	30.0000
sheep_great_estates	resource_prod_sheep	1.0000
sheep_great_royal_palace	gdp_farm	300.0000
sheep_great_royal_palace	happy_culture_upper	1.0000
sheep_great_royal_palace	pop_growth_farm	0.5000
sheep_great_royal_palace	pop_maxpop_modifier	30.0000
sheep_great_royal_palace	prestige_message	1.0000
sheep_great_royal_palace	resource_prod_sheep	1.0000
sheep_peasant_farms	gdp_farm	100.0000
sheep_peasant_farms	pop_growth_farm	0.2000
sheep_peasant_farms	pop_maxpop_modifier	5.0000
sheep_peasant_farms	resource_prod_sheep	1.0000
sheep_tenanted_farms	gdp_farm	150.0000
sheep_tenanted_farms	pop_growth_farm	0.3000
sheep_tenanted_farms	pop_maxpop_modifier	10.0000
sheep_tenanted_farms	resource_prod_sheep	1.0000
shipyard	naval_recruitment_points	1.0000
silver_mine	gdp_mine	1000.0000
silver_mine	resource_prod_silver	1.0000
small_coffee_plantation	commodity_prod_coffee	15.0000
small_cotton_plantation	commodity_prod_cotton	15.0000
small_spices_plantation	commodity_prod_spices	15.0000
small_sugar_plantation	commodity_prod_sugar	15.0000
small_tea_plantation	commodity_prod_tea	15.0000
small_tobacco_plantation	commodity_prod_tobacco	15.0000
spices_warehouse	commodity_prod_spices	40.0000
spices_warehouse	prestige_message	1.0000
star_fort	prestige_message	1.0000
steam_drydock	happy_industrialisation_lower	-2.0000
steam_drydock	naval_recruitment_points	4.0000
steam_drydock	prestige_message	1.0000
steam_engine_factory	gdp_industry	1000.0000
steam_engine_factory	happy_industrialisation_lower	-2.0000
steam_engine_factory	prestige_message	1.0000
steam_engine_factory	tw_growth_industry	12.0000
steam-powered_cloth_mill	gdp_industry	750.0000
steam-powered_cloth_mill	happy_industrialisation_lower	-2.0000
steam-powered_cloth_mill	prestige_message	1.0000
steam-powered_cloth_mill	tw_growth_industry	16.0000
steam-powered_sugar_mill	commodity_prod_sugar	60.0000
steam-powered_sugar_mill	prestige_message	1.0000
steam-pumped_gold_mine	gdp_mine	1400.0000
steam-pumped_gold_mine	happy_industrialisation_lower	-1.0000
steam-pumped_gold_mine	resource_prod_gold	1.0000
steam-pumped_iron_mine	gdp_mine	800.0000
steam-pumped_iron_mine	happy_industrialisation_lower	-1.0000
steam-pumped_iron_mine	resource_prod_iron	1.0000
steam-pumped_silver_mine	gdp_mine	1200.0000
steam-pumped_silver_mine	happy_industrialisation_lower	-1.0000
steam-pumped_silver_mine	resource_prod_silver	1.0000
sugar_warehouse	commodity_prod_sugar	40.0000
sugar_warehouse	prestige_message	1.0000
tarmac_roads	enable_cadenced_marching	1.0000
tarmac_roads	prestige_message	1.0000
tarmac_roads	tw_growth_roads	5.0000
tea_warehouse	commodity_prod_tea	40.0000
tea_warehouse	prestige_message	1.0000
theatre	agent_spawn_rate_assassin	4.0000
theatre	agent_spawn_rate_rake	4.0000
theatre	happy_culture_lower	4.0000
theatre	happy_culture_middle	4.0000
theatre	happy_culture_upper	1.0000
timber_logging_camp	gdp_industry	500.0000
timber_logging_camp	resource_prod_timber	1.0000
timber_lumber_mill	gdp_industry	600.0000
timber_lumber_mill	resource_prod_timber	1.0000
tobacco_warehouse	commodity_prod_tobacco	40.0000
tobacco_warehouse	prestige_message	1.0000
trading_company	export_capacity_port	360.0000
trading_company	gdp_port	500.0000
trading_company	naval_recruitment_points	2.0000
trading_company	prestige_message	1.0000
trading_company	trade_routes_mod_max_sea	5.0000
trading_company	tw_growth_port	7.0000
trading_port	export_capacity_port	30.0000
trading_port	gdp_port	200.0000
trading_port	naval_recruitment_points	1.0000
trading_port	trade_routes_mod_max_sea	2.0000
trading_port	tw_growth_port	1.0000
tribal_ancestral_ground	happy_culture_lower	2.0000
tribal_ancestral_ground	happy_culture_upper	2.0000
tribal_ancestral_ground	recruitment_points	1.0000
tribal_burial_ground	happy_culture_lower	1.0000
tribal_burial_ground	happy_culture_upper	1.0000
tribal_burial_ground	recruitment_points	1.0000
tribal_chiefs_lodge	recruitment_points	1.0000
tribal_chiefs_lodge	region_turns_to_surrender	2.0000
tribal_chiefs_lodge	repression_building	1.0000
tribal_chiefs_lodge	tax_bonus_building	6.0000
tribal_confederation_of_tribes	recruitment_points	1.0000
tribal_confederation_of_tribes	region_turns_to_surrender	4.0000
tribal_confederation_of_tribes	repression_building	3.0000
tribal_confederation_of_tribes	tax_bonus_building	12.0000
tribal_corn_communal_farms	gdp_farm	400.0000
tribal_corn_communal_farms	pop_growth_farm	0.6000
tribal_corn_communal_farms	pop_maxpop_modifier	30.0000
tribal_corn_communal_farms	resource_prod_corn	1.0000
tribal_corn_subsistence_farms	gdp_farm	200.0000
tribal_corn_subsistence_farms	pop_growth_farm	0.3000
tribal_corn_subsistence_farms	pop_maxpop_modifier	20.0000
tribal_corn_subsistence_farms	resource_prod_corn	1.0000
