key	building_level	position_index	research_points_required	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic
industry_agriculture_selective_breeding	wheat_clearances	4	261	industry_agriculture_selective_breeding	0	0	0	0	false	false	agriculture_eu.tga
industry_agriculture_steam-pumped_land_drainage	wheat_clearances	7	276	industry_agriculture_steam-pumped_land_drainage	0	0	10	0	false	false	agriculture_eu.tga
industry_agriculture_threshing_machine	wheat_great_estates	1	394	industry_agriculture_threshing_machine	0	0	10	0	false	false	agriculture_eu.tga
industry_metal_basic_steam_pump	iron_workshops	0	42	industry_metal_basic_steam_pump	0	0	0	0	false	false	steam.tga
industry_metal_coke_blast_furnace	iron_workshops	4	76	industry_metal_coke_blast_furnace	0	0	10	0	false	false	steam.tga
industry_metal_interchangeable_parts	steam_engine_factory	0	426	industry_metal_interchangeable_parts	0	0	20	0	false	false	steam.tga
industry_metal_machine_tools	ironmasters_works	1	165	industry_metal_machine_tools	0	0	20	0	false	false	steam.tga
industry_metal_measuring_tools	iron_workshops	5	112	industry_metal_measuring_tools	0	0	0	0	false	false	steam.tga
industry_metal_puddling_furnace	ironmasters_works	2	135	industry_metal_puddling_furnace	0	0	10	0	false	false	steam.tga
industry_metal_steam_engine	ironmasters_works	4	405	industry_metal_steam_engine	0	0	50	0	false	false	steam.tga
industry_textile_cotton_gin	water-powered_cloth_mill	2	457	military_army_airguns	0	0	0	0	false	false	placeholder.tga
industry_textile_flying_shuttle	weavers_cottages	5	75	industry_textile_flying_shuttle	0	0	10	0	false	false	steam.tga
industry_textile_mass_production	steam-powered_cloth_mill	0	450	industry_textile_mass_production	0	0	30	0	false	false	steam.tga
industry_textile_power_loom	water-powered_cloth_mill	4	315	industry_textile_power_loom	0	0	10	0	false	false	steam.tga
industry_textile_punch-card_loom	water-powered_cloth_mill	1	180	industry_textile_punch-card_loom	0	0	10	0	false	false	steam.tga
industry_textile_spinning_frame	weavers_cottages	2	457	military_army_airguns	0	0	0	0	false	false	placeholder.tga
industry_textile_spinning_jenny	weavers_cottages	0	37	industry_textile_spinning_jenny	0	0	10	0	false	false	steam.tga
industry_textile_spinning_mule	weavers_cottages	4	90	industry_textile_spinning_mule	0	0	10	0	false	false	steam.tga
military_army_advanced_skirmishing	army_board	5	457	military_army_airguns	0	0	0	0	false	false	drill-eu.tga
military_army_airguns	army_staff_college	3	195	military_army_airguns	0	0	0	0	false	false	drill-eu.tga
military_army_cadenced_marching	drill_school	5	105	military_army_cadenced_marching	10	0	0	0	false	false	drill-eu.tga
military_army_carbines	army_encampment	2	30	military_army_carbines	0	0	0	0	false	false	drill-eu.tga
military_army_diamond_formation	military_academy	2	105	military_army_diamond_formation	0	0	0	0	false	true	drill-eu.tga
military_army_european_doctrine	drill_school	3	261	military_army_european_doctrine	10	0	0	0	false	true	drill-eu.tga
military_army_fire_and_advance	military_academy	7	183	military_army_fire_and_advance	0	0	0	0	false	true	drill-eu.tga
military_army_fire_by_rank	drill_school	7	135	military_army_fire_by_rank	0	0	0	0	false	true	drill-eu.tga
military_army_light_infantry_doctrine	army_board	0	255	military_army_light_infantry_doctrine	0	0	0	0	false	true	drill-eu.tga
military_army_machined_rifling	army_staff_college	0	352	military_army_machined_rifling	10	0	0	0	false	false	drill-eu.tga
military_army_military_syllabus	army_barracks	4	54	military_army_military_syllabus	0	0	0	0	false	false	drill-eu.tga
military_army_new_model_bayonet_drill	military_academy	0	150	military_army_new_model_bayonet_drill	10	0	0	0	false	true	drill-eu.tga
military_army_percussion_cap	army_staff_college	7	450	military_army_percussion_cap	10	0	0	0	false	true	drill-eu.tga
military_army_platoon_firing	army_board	4	285	military_army_platoon_firing	0	0	0	0	false	true	drill-eu.tga
military_army_plug_bayonet	army_encampment	0	30	military_army_plug_bayonet	0	0	0	0	true	false	drill-eu.tga
military_army_reoganised_procurement	military_academy	4	195	military_army_reoganised_procurement	0	0	0	0	false	false	drill-eu.tga
military_army_ring_bayonet	army_barracks	0	45	military_army_ring_bayonet	0	0	0	0	false	false	drill-eu.tga
military_army_screw_breach	army_staff_college	4	450	military_army_screw_breach	10	0	0	0	false	false	drill-eu.tga
military_army_shortened_carbines	army_board	2	211	military_army_shortened_carbines	0	0	0	0	false	true	drill-eu.tga
military_army_socket_bayonet	drill_school	4	135	military_army_socket_bayonet	10	0	0	0	false	true	drill-eu.tga
military_army_square_formation	army_barracks	1	30	military_army_square_formation	10	0	0	0	true	true	drill-eu.tga
military_army_wedge_formation	drill_school	2	75	military_army_wedge_formation	0	0	0	0	true	true	drill-eu.tga
military_navy_carronades	naval_board	5	195	military_navy_carronades	0	10	0	0	false	false	fleet1.tga
military_navy_copper_bottoms	naval_board	6	105	military_navy_copper_bottoms	0	10	0	0	false	false	fleet1.tga
military_navy_flintlock_cannon	admiralty	5	48	military_navy_flintlock_cannon	0	10	0	0	false	true	fleet1.tga
military_navy_improved_coppering	naval_college	2	195	military_navy_improved_coppering	0	10	0	0	false	true	fleet1.tga
military_navy_improved_grape_shot	naval_board	1	60	military_navy_improved_grape_shot	0	10	0	0	false	true	fleet1.tga
military_navy_lime_juice_and_sauerkraut	naval_board	7	120	military_navy_lime_juice_and_sauerkraut	0	10	0	0	false	false	fleet1.tga
military_navy_longitude_watch	naval_board	3	76	military_navy_longitude_watch	0	10	0	0	false	false	fleet1.tga
military_navy_mortar_ship_design	admiralty	0	276	military_army_airguns	0	0	0	0	false	false	placeholder.tga
military_navy_naval_architecture_advances	naval_board	0	105	military_navy_naval_architecture_advances	0	0	0	0	false	false	fleet1.tga
military_navy_naval_shore_facilities	admiralty	4	48	military_navy_naval_shore_facilities	0	0	0	0	false	false	fleet1.tga
military_navy_pocket_chronometer	naval_college	4	276	military_army_airguns	0	0	0	0	false	false	placeholder.tga
military_navy_preserved_foods	naval_college	7	330	military_navy_preserved_foods	0	10	0	0	false	false	fleet1.tga
military_navy_reformed_naval_administration	naval_board	4	195	military_navy_reformed_naval_administration	0	0	0	0	false	false	fleet1.tga
military_navy_rifled_cannons	naval_college	1	375	military_navy_rifled_cannons	0	10	0	0	false	true	fleet1.tga
military_navy_seasoning	admiralty	6	48	military_navy_seasoning	0	10	0	0	false	false	fleet1.tga
military_navy_sextant	admiralty	7	42	military_navy_sextant	0	10	0	0	false	false	fleet1.tga
military_navy_sheet_lead_cartridges	naval_college	5	450	military_navy_sheet_lead_cartridges	0	10	0	0	false	true	fleet1.tga
military_navy_top_gallants	naval_college	6	450	military_navy_top_gallants	0	30	0	0	false	true	fleet1.tga
military_navy_underhanded_submersible_warfare	naval_college	6	276	military_army_airguns	0	0	0	0	false	false	placeholder.tga
military_ordnance_canister_shot	cannon_foundry	4	33	military_ordnance_canister_shot	0	0	0	0	true	true	arsenal-2.tga
military_ordnance_carcass_shot	great_arsenal	5	150	military_ordnance_carcass_shot	0	0	0	0	true	true	arsenal-2.tga
military_ordnance_explosive_rockets	gunnery_school	2	225	military_ordnance_explosive_rockets	0	0	0	0	false	true	arsenal-2.tga
military_ordnance_explosive_shells	ordnance_factory	4	108	military_ordnance_explosive_shells	0	0	0	0	true	true	arsenal-2.tga
military_ordnance_improved_grenades	cannon_foundry	5	49	military_ordnance_improved_grenades	0	0	0	0	false	true	arsenal-2.tga
military_ordnance_percussion_shells	engineer_school	5	450	military_ordnance_percussion_shells	0	0	0	0	false	true	arsenal-2.tga
military_ordnance_quicklime_shells	ordnance_board	0	300	military_ordnance_quicklime_shells	0	0	0	0	false	true	arsenal-2.tga
military_ordnance_shrapnel_shot	engineer_school	1	375	military_ordnance_shrapnel_shot	0	0	0	0	false	true	arsenal-2.tga
