trait	agent
C_Minister_Navy_Good	minister
C_Minister_Physiocrat	minister
C_Minister_Radical	minister
C_Minister_Reactionary	minister
C_Minister_Trader	minister
C_Minister_Unjust	minister
C_Minister_Upright	minister
C_Missionary_Gone_Native	catholic_missionary
C_Missionary_Gone_Native	indian_missionary
C_Missionary_Gone_Native	middle_east_missionary
C_Missionary_Gone_Native	orthodox_missionary
C_Missionary_Gone_Native	Protestant_Missionary
C_Missionary_Hate_America	catholic_missionary
C_Missionary_Hate_America	indian_missionary
C_Missionary_Hate_America	middle_east_missionary
C_Missionary_Hate_America	orthodox_missionary
C_Missionary_Hate_America	Protestant_Missionary
C_Missionary_Hate_Europe	catholic_missionary
C_Missionary_Hate_Europe	indian_missionary
C_Missionary_Hate_Europe	middle_east_missionary
C_Missionary_Hate_Europe	orthodox_missionary
C_Missionary_Hate_Europe	Protestant_Missionary
C_Missionary_Hate_India	catholic_missionary
C_Missionary_Hate_India	indian_missionary
C_Missionary_Hate_India	middle_east_missionary
C_Missionary_Hate_India	orthodox_missionary
C_Missionary_Hate_India	Protestant_Missionary
C_Missionary_Like_America	catholic_missionary
C_Missionary_Like_America	indian_missionary
C_Missionary_Like_America	middle_east_missionary
C_Missionary_Like_America	orthodox_missionary
C_Missionary_Like_America	Protestant_Missionary
C_Missionary_Like_Europe	catholic_missionary
C_Missionary_Like_Europe	indian_missionary
C_Missionary_Like_Europe	middle_east_missionary
C_Missionary_Like_Europe	orthodox_missionary
C_Missionary_Like_Europe	Protestant_Missionary
C_Missionary_Like_India	catholic_missionary
C_Missionary_Like_India	indian_missionary
C_Missionary_Like_India	middle_east_missionary
C_Missionary_Like_India	orthodox_missionary
C_Missionary_Like_India	Protestant_Missionary
C_Missionary_Touched_By_God	catholic_missionary
C_Missionary_Touched_By_God	indian_missionary
C_Missionary_Touched_By_God	middle_east_missionary
C_Missionary_Touched_By_God	orthodox_missionary
C_Missionary_Touched_By_God	Protestant_Missionary
C_Personal_Hale	assassin
C_Personal_Hale	catholic_missionary
C_Personal_Hale	Eastern_Scholar
C_Personal_Hale	General
C_Personal_Hale	gentleman
C_Personal_Hale	indian_missionary
C_Personal_Hale	middle_east_missionary
C_Personal_Hale	orthodox_missionary
C_Personal_Hale	Protestant_Missionary
C_Personal_Hale	rake
C_Personal_High_Personal_Security	admiral
C_Personal_High_Personal_Security	Eastern_Scholar
C_Personal_High_Personal_Security	General
C_Personal_High_Personal_Security	gentleman
C_Personal_High_Personal_Security	rake
C_Personal_Piety	Eastern_Scholar
C_Personal_Piety	gentleman
C_Personal_Piety	minister
C_Personal_Sickly	assassin
C_Personal_Sickly	catholic_missionary
C_Personal_Sickly	Eastern_Scholar
C_Personal_Sickly	General
C_Personal_Sickly	gentleman
C_Personal_Sickly	indian_missionary
C_Personal_Sickly	middle_east_missionary
C_Personal_Sickly	orthodox_missionary
C_Personal_Sickly	Protestant_Missionary
C_Personal_Sickly	rake
C_Rake_Assassin_Good	assassin
C_Rake_Assassin_Good	rake
C_Rake_Born_Bounder	assassin
C_Rake_Born_Bounder	rake
C_Rake_Counter_Spy	assassin
C_Rake_Counter_Spy	rake
C_Rake_Gate_Opener	assassin
C_Rake_Gate_Opener	rake
C_Rake_Im_A_Laydee	rake
C_Rake_Sabot_Good	assassin
C_Rake_Sabot_Good	rake
C_Rake_Spy_Good	assassin
C_Rake_Spy_Good	rake
C_Sausage_Vice	minister
C_Siege_Engineering	General
C_Personal_High_Personal_Security	minister
